cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_0001,TS_0001,PT1,3.35,5.75,0,0,0,0,5.25,4,4,0,0,0,0,0,0,0,0,0,0,0
TS_0002,TS_0002,PT1,4.6,0,0,0,7.6,9,7.75,0,0,0,0,0,0,0,8.5,7.5,0,0,0,0
TS_0003,TS_0003,PT1,9,0,0,0,0,0,8.75,7.6,7.6,0,0,0,0,0,0,0,0,0,0,0
TS_0004,TS_0004,PT1,7,7.75,0,0,0,0,8.25,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0005,TS_0005,PT1,4.75,0,0,0,6.1,0,8.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0006,TS_0006,PT1,7,7.25,7.35,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0007,TS_0007,PT1,6.75,0,0,0,7.25,0,7.75,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0008,TS_0008,PT1,6.25,8.25,9.5,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0009,TS_0009,PT1,3.5,3.05,0,0,0,0,8,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_0010,TS_0010,PT1,3.85,5.35,0,0,8,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0011,TS_0011,PT1,7,6.5,0,0,0,0,8.5,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0012,TS_0012,PT1,5.5,8,0,0,0,0,8.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0013,TS_0013,PT1,4.25,0,0,0,8.5,8.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0014,TS_0014,PT1,5.1,7.5,0,0,6.75,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0015,TS_0015,PT1,0,0,0,0,9.75,9.75,7.75,0,0,0,0,0,0,0,8.25,6.5,0,0,0,0
TS_0016,TS_0016,PT1,5.5,0,0,0,7,8.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0017,TS_0017,PT1,3.45,0,0,0,8.5,8.75,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0018,TS_0018,PT1,4.5,6.5,0,0,0,0,8,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0
TS_0019,TS_0019,PT1,5.5,0,0,0,0,0,8.5,5,5,0,0,0,9.25,0,0,0,0,0,0,0
TS_0020,TS_0020,PT1,4.6,0,0,0,0,0,8.25,7,7,0,0,0,8.25,0,0,0,0,0,0,0
TS_0021,TS_0021,PT1,6.1,8,5.5,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0022,TS_0022,PT1,4,4.35,0,0,0,0,8.25,0,0,0,0,0,8,0,0,0,0,0,0,0
TS_0023,TS_0023,PT1,5.35,0,0,0,7.6,0,8,5,5,0,0,0,0,0,0,0,7.5,6.5,0,0
TS_0024,TS_0024,PT1,6.75,5.75,0,0,0,0,7.25,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0025,TS_0025,PT1,4.5,0,0,0,6.25,5.45,6.5,0,0,0,0,0,0,0,7.38,7,0,0,0,0
TS_0026,TS_0026,PT1,4.85,0,7.35,0,0,0,7.75,9,9,0,0,0,0,0,0,0,0,0,0,0
TS_0027,TS_0027,PT1,4.75,0,0,0,9.5,8.75,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0028,TS_0028,PT1,5.25,5.75,0,0,0,0,8.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0029,TS_0029,PT1,5.85,7.75,0,0,0,0,8,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0030,TS_0030,PT1,5.5,0,8,0,0,0,6.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0031,TS_0031,PT1,4.5,0,0,0,8,6.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0032,TS_0032,PT1,5.5,6.6,0,0,0,0,5,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0033,TS_0033,PT1,5.35,7.5,0,0,0,0,7.25,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0034,TS_0034,PT1,6,0,0,0,9.25,9,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0035,TS_0035,PT1,5,0,0,0,7.75,0,7.17,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0036,TS_0036,PT1,6,6.5,3.35,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
